filename	read_id	run_id	channel	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	num_called_template	sequence_length_template	mean_qscore_template	strand_score_template	calibration_strand_genome_template	calibration_strand_identity_template	calibration_strand_accuracy_template	aligned_speed_bps_template
1	1	A	101	153.12019	3.07503	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
2	2	A	441	102.31806	3.50332	703	FALSE	0	703	3.50332	703	192	6.501	-0.0026	filtered_out	-1	-1	0
3	3	A	277	137.61554	3.10093	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
4	4	A	504	122.24402	3.12517	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
5	5	A	55	119.81042	3.93592	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
6	6	A	201	79.16501	5.83035	818	TRUE	1.75432	818	4.07603	818	344	7.429	-0.0027	filtered_out	-1	-1	0
7	7	A	95	124.26162	5.44356	1093	TRUE	0	1093	5.44356	1093	238	7.152	-0.0033	filtered_out	-1	-1	0
8	8	A	126	130.49867	3.58001	718	FALSE	0	718	3.58001	718	100	5.497	-0.0022	filtered_out	-1	-1	0
9	9	A	44	139.57371	3.2832	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
10	10	A	362	134.65637	4.11521	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
11	11	A	510	125.17995	7.04183	1414	FALSE	0	1414	7.04183	1414	185	6.848	-0.001	filtered_out	-1	-1	0
12	12	A	374	135.37384	8.58267	1723	TRUE	0	1723	8.58267	1723	223	7.09	-0.0021	filtered_out	-1	-1	0
13	13	A	18	152.82603	4.47543	898	FALSE	0	898	4.47543	898	215	6.598	-0.0016	filtered_out	-1	-1	0
14	14	A	255	25.63147	4.2759	858	FALSE	0	858	4.2759	858	201	5.994	-0.0011	filtered_out	-1	-1	0
15	15	A	173	128.45252	3.40073	682	FALSE	0	682	3.40073	682	141	6.077	-0.0018	filtered_out	-1	-1	0
16	16	A	510	120.58499	4.53054	105	FALSE	4.00631	105	0.52424	105	49	6.334	-0.0062	filtered_out	-1	-1	0
17	17	A	200	103.21149	9.03951	1815	TRUE	0	1815	9.03951	1815	483	8.34	-0.0013	filtered_out	-1	-1	0
18	18	A	179	149.41368	5.68592	1141	FALSE	0	1141	5.68592	1141	200	6.86	-0.0023	filtered_out	-1	-1	0
19	19	A	49	110.54515	9.55843	1307	FALSE	3.04947	1307	6.50896	1307	52	3.986	-0.0018	filtered_out	-1	-1	0
20	20	A	68	140.32835	4.43426	890	FALSE	0	890	4.43426	890	191	5.772	-7.00E-04	filtered_out	-1	-1	0
21	21	A	365	154.15239	3.10093	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
22	22	A	193	144.89807	4.11222	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
23	23	A	154	130.54748	7.71547	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
24	24	A	109	120.86421	6.02457	750	TRUE	2.28519	750	3.73938	750	191	7.638	-0.0022	filtered_out	-1	-1	0
25	25	A	11	141.7344	3.21614	0	FALSE	0	0	0	0	0	0	0	no_match	-1	-1	0
26	26	A	300	142.23705	3.82304	767	FALSE	0	767	3.82304	767	194	5.682	-0.0019	filtered_out	-1	-1	0
