filename	read_id	run_id	channel	start_time	duration	num_events	template_start	num_events_template	template_duration	num_called_template	sequence_length_template	mean_qscore_template	strand_score_template	complement_start	num_events_complement	complement_duration	num_called_complement	sequence_length_complement	mean_qscore_complement	strand_score_complement	sequence_length_2d	mean_qscore_2d
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch23_read19563_strand.fast5	663f8e21-1878-4aba-9fa0-7506c4760acc	ef76f479cb7e67828f17075c463bd69de4a0bbcb	23	145166.79775	7.916	0	0.0	0	0.0	0	0	0.0	0.0	0.0	0	0.0	0	0	0.0	0.0	0	0.0
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch234_read15379_strand.fast5	fd4e4482-cf4c-4cf3-a671-2d9b484e16a1	ef76f479cb7e67828f17075c463bd69de4a0bbcb	234	129443.8605	3.5	0	0.0	0	0.0	0	0	0.0	0.0	0.0	0	0.0	0	0	0.0	0.0	0	0.0
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch44_read12270_strand.fast5	1938cf53-60d4-4a11-94c7-4cd9a91d57dc	ef76f479cb7e67828f17075c463bd69de4a0bbcb	44	124576.2405	9.68325	939	7.3715	491	1.19775	469	314	10.371	-0.7396	8.67775	411	1.0055	397	268	10.55	-0.7123	277	15.04
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch132_read19073_strand.fast5	4e9b403c-4fe3-4530-ada3-bcf268506552	ef76f479cb7e67828f17075c463bd69de4a0bbcb	132	127391.206	29.24575	11474	0.005	1665	4.278	1585	49	8.507	-0.7012	4.41925	9755	24.8265	9210	467	5.385	-0.7211	0	0.0
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch62_read25214_strand.fast5	35a580e9-1aec-461a-b23b-0741ceea965f	ef76f479cb7e67828f17075c463bd69de4a0bbcb	62	127912.90175	3.01375	1273	0.1045	712	1.6455	679	406	8.045	-1.1285	1.798	540	1.21575	494	310	6.304	-1.5799	336	8.059
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch337_read16547_strand.fast5	5c97917f-b9f5-487b-83ca-35e9339e6be6	ef76f479cb7e67828f17075c463bd69de4a0bbcb	337	127938.2005	31.74975	0	0.0	0	0.0	0	0	0.0	0.0	0.0	0	0.0	0	0	0.0	0.0	0	0.0
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch62_read26591_strand.fast5	30b802bd-58fb-4b58-9450-8b3bb5a9929a	ef76f479cb7e67828f17075c463bd69de4a0bbcb	62	132692.45875	5.8215	2625	0.02775	2625	5.79375	2445	1720	6.99	-1.4862	0.0	0	0.0	0	0	0.0	0.0	0	0.0
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch123_read20576_strand.fast5	d4109f9a-8e4d-4958-89af-601cfbbc58a2	ef76f479cb7e67828f17075c463bd69de4a0bbcb	123	127428.85	2.11175	673	0.6345	344	0.75	327	260	8.542	-0.9999	1.475	285	0.63675	261	178	7.84	-1.1104	194	9.894
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch1_read18048_strand.fast5	dc449340-2e6a-4fad-99db-33e18594f32a	ef76f479cb7e67828f17075c463bd69de4a0bbcb	1	132232.10775	29.742	14125	0.00625	4557	9.5145	4252	165	6.406	-0.9039	9.53525	9561	20.20675	8013	4471	4.947	-2.0852	0	0.0
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch62_read26769_strand.fast5	f86ea7df-a885-4d08-bbd4-27077d2c70f7	ef76f479cb7e67828f17075c463bd69de4a0bbcb	62	133144.351	2.672	1203	0.024	901	1.9875	854	587	7.392	-1.3262	2.07175	277	0.60025	240	177	6.279	-1.3788	162	7.853
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch163_read17857_strand.fast5	02570bdc-5fab-4314-a7ba-cb896c31d817	ef76f479cb7e67828f17075c463bd69de4a0bbcb	163	123782.117	4.00575	1365	0.8285	705	1.6645	696	433	12.183	-0.5121	2.565	629	1.44075	605	398	9.949	-0.7806	407	15.665
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch240_read21329_strand.fast5	a0ca5b60-6714-4bd3-a0f9-e5eedd01b408	ef76f479cb7e67828f17075c463bd69de4a0bbcb	240	144691.29925	3.5	0	0.0	0	0.0	0	0	0.0	0.0	0.0	0	0.0	0	0	0.0	0.0	0	0.0
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch354_read17348_strand.fast5	be9fb815-b5c1-4077-a9e2-8c89b18a8370	ef76f479cb7e67828f17075c463bd69de4a0bbcb	354	139843.545	12.4535	5294	0.0	5294	12.4535	5123	3098	11.505	-0.6748	0.0	0	0.0	0	0	0.0	0.0	0	0.0
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch119_read17269_strand.fast5	c65efd00-612b-4a89-a58f-f64ccce7c20c	ef76f479cb7e67828f17075c463bd69de4a0bbcb	119	123747.954	11.63775	4992	0.03375	2605	6.11275	2558	1565	10.968	-0.6633	6.2505	2343	5.38725	2259	1524	9.615	-0.8973	1495	12.72
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch311_read14826_strand.fast5	cd43c8c6-ac98-476e-b7e5-e0d81adb59ef	ef76f479cb7e67828f17075c463bd69de4a0bbcb	311	146071.20125	12.515	5727	0.0	5727	12.515	5118	3332	7.315	-1.4094	0.0	0	0.0	0	0	0.0	0.0	0	0.0
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch153_read226285_strand.fast5	04e4020c-3d6d-4050-8545-fbb6aba887c4	ef76f479cb7e67828f17075c463bd69de4a0bbcb	153	135268.12125	1.18075	0	0.0	0	0.0	0	0	0.0	0.0	0.0	0	0.0	0	0	0.0	0.0	0	0.0
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch305_read10347_strand.fast5	0a06b198-5d27-4c2a-ac9d-e4a740f3a5ca	ef76f479cb7e67828f17075c463bd69de4a0bbcb	305	124658.214	3.24975	0	0.0	0	0.0	0	0	0.0	0.0	0.0	0	0.0	0	0	0.0	0.0	0	0.0
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch182_read22186_strand.fast5	6fd24d1b-07b0-476b-9ae8-18a743ebed73	ef76f479cb7e67828f17075c463bd69de4a0bbcb	182	125977.2055	1.89	792	0.0	267	0.71275	253	20	5.596	-0.8374	0.73475	516	1.15525	379	249	6.076	-1.5891	63	5.836
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch386_read18854_strand.fast5	f001c825-cf6e-4718-a98f-7662caa523f0	ef76f479cb7e67828f17075c463bd69de4a0bbcb	386	131890.10425	39.99675	15431	3.626	15431	36.37075	13697	1169	5.394	-1.0531	0.0	0	0.0	0	0	0.0	0.0	0	0.0
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch62_read23708_strand.fast5	909e2a80-1586-4e7a-a102-3ecda58dcbb2	ef76f479cb7e67828f17075c463bd69de4a0bbcb	62	123380.30625	4.97325	2224	0.0	1300	2.90975	1160	722	7.691	-1.2578	2.98175	895	1.9915	870	619	7.111	-1.4018	681	8.478
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch373_read16195_strand.fast5	87da78ea-d540-445b-9942-3d7b80f5a34d	ef76f479cb7e67828f17075c463bd69de4a0bbcb	373	126289.96425	34.7425	15039	0.0	15039	34.7425	12986	1503	4.635	-1.4803	0.0	0	0.0	0	0	0.0	0.0	0	0.0
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch62_read23837_strand.fast5	b392d9cd-f0f9-4c2a-8733-8c1050cfc3c1	ef76f479cb7e67828f17075c463bd69de4a0bbcb	62	123724.863	19.2125	8310	0.0	4467	10.38525	4086	2499	7.835	-1.2778	10.43	3824	8.7825	3616	2314	6.936	-1.5438	2564	8.178
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch1_read19872_strand.fast5	7366a6fa-fed7-4dd0-a8e0-0a361731fc24	ef76f479cb7e67828f17075c463bd69de4a0bbcb	1	145852.466	10.49525	0	0.0	0	0.0	0	0	0.0	0.0	0.0	0	0.0	0	0	0.0	0.0	0	0.0
minion_20170222_FNFAB45479_MN19809_sequencing_run_Bluefintuna9d_Run1_70922_ch123_read22313_strand.fast5	69c3d606-5505-4ba9-a3e6-5d6254af5373	ef76f479cb7e67828f17075c463bd69de4a0bbcb	123	134499.30225	52.78775	23835	0.0135	13610	30.2275	12881	8555	7.186	-1.4836	30.299	10200	22.48875	9754	7501	7.815	-1.3295	7978	8.853
