filename	read_id	run_id	channel	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	num_called_template	sequence_length_template	mean_qscore_template	strand_score_template	barcode_arrangement	barcode_score	barcode_full_arrangement	front_score	rear_score	front_begin_index	front_foundseq_length	rear_end_index	rear_foundseq_length	kit	variant
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_mux_scan_Test_AmpSeq_36535_read_102_ch_1414_strand.fast5	c2761ad8-8a2e-4725-801e-05a35a46bd89	dc6f33ab40634a100dda29fa731d104f7d9c9b5d	1414	129.09025	4.3205	2275	True	0.33875	2275	3.98175	2275	1606	11.069	-0.0009	unclassified	33.33333206176758	BC26_var2	33.33333206176758	16.576271057128906	21	49	40	48	BC	var2
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_mux_scan_Test_AmpSeq_36535_read_104_ch_1190_strand.fast5	586d093c-d1a9-48a3-922c-ae3f4c1b2162	dc6f33ab40634a100dda29fa731d104f7d9c9b5d	1190	161.0455	9.8835	4962	True	1.2	4962	8.6835	4962	3509	11.531	-0.0002	unclassified	32.512821197509766	NB08_var2	14.88888931274414	32.512821197509766	61	35	3	29	NB	var2
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_mux_scan_Test_AmpSeq_36535_read_100_ch_1080_strand.fast5	a8fc1246-204c-4d27-a4f8-288f6bd6e42b	dc6f33ab40634a100dda29fa731d104f7d9c9b5d	1080	173.95775	14.95025	8520	True	0.03875	8520	14.9115	8520	5922	11.487	-0.0002	unclassified	31.897436141967773	NB02_var2	17.200000762939453	31.897436141967773	112	34	105	33	NB	var2
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_mux_scan_Test_AmpSeq_36535_read_102_ch_2360_strand.fast5	1177368e-5d4f-4306-bfc2-c1c0a46a1455	dc6f33ab40634a100dda29fa731d104f7d9c9b5d	2360	176.4315	12.476	7114	True	0.0265	7114	12.4495	7114	5107	9.635	-0.0002	unclassified	41.46666717529297	BC81_var2	41.46666717529297	6.03389835357666	41	48	37	43	BC	var2
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_mux_scan_Test_AmpSeq_36535_read_105_ch_1936_strand.fast5	98ad9dad-8175-4f75-b3e5-892858835118	dc6f33ab40634a100dda29fa731d104f7d9c9b5d	1936	157.899	1.184	533	True	0.24975	533	0.93425	533	421	10.676	-0.002	unclassified	49.53845977783203	NB09_var1	49.53845977783203	25.64444351196289	31	38	111	30	NB	var1
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_mux_scan_Test_AmpSeq_36535_read_100_ch_1414_strand.fast5	e18baa80-d596-4200-8a6a-112039c23cd7	dc6f33ab40634a100dda29fa731d104f7d9c9b5d	1414	107.70375	20.7805	11638	True	0.413	11638	20.3675	11638	8997	10.824	-0.0004	unclassified	34.117645263671875	RAB12_var1	18.980392456054688	34.117645263671875	48	39	86	40	RAB	var1
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_mux_scan_Test_AmpSeq_36535_read_106_ch_840_strand.fast5	36822114-419b-4aa0-a1c1-cddd7e5275e5	dc6f33ab40634a100dda29fa731d104f7d9c9b5d	840	178.3295	7.242	4003	True	0.23675	4003	7.00525	4003	2813	11.356	-0.0005	unclassified	35.39622497558594	LWB12_var2	13.283019065856934	35.39622497558594	84	44	119	31	LBW	var2
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_mux_scan_Test_AmpSeq_36535_read_104_ch_608_strand.fast5	d6f63493-02b8-4b4c-8ed6-a73935b5653d	dc6f33ab40634a100dda29fa731d104f7d9c9b5d	608	174.96775	13.94025	7760	True	0.36025	7760	13.58	7760	5333	11.303	-0.0002	unclassified	37.33333206176758	NB04_var1	21.0256404876709	37.33333206176758	76	28	44	38	NB	var1
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_mux_scan_Test_AmpSeq_36535_read_109_ch_1936_strand.fast5	5157286b-3852-4a5f-830c-300b2de2cbd6	dc6f33ab40634a100dda29fa731d104f7d9c9b5d	1936	159.8625	10.158	5775	True	0.05175	5775	10.10625	5775	4609	11.589	-0.0003	barcode12	86.4102554321289	NB12_var2	76.53333282470703	86.4102554321289	26	42	13	40	NB	var2
PCT0031_20180614_0004A30B00221D8D_1_A1_D1_mux_scan_Test_AmpSeq_36535_read_115_ch_1936_strand.fast5	a4edc073-b4d8-47d7-8771-0edd1ea4fb8b	dc6f33ab40634a100dda29fa731d104f7d9c9b5d	1936	171.24425	4.63775	2650	True	0.0	2650	4.63775	2650	1861	9.877	-0.0005	barcode11	83.28205108642578	NB11_var1	83.28205108642578	34.44444274902344	26	35	6	35	NB	var1
