filename	read_id	run_id	channel	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	num_called_template	sequence_length_template	mean_qscore_template	strand_score_template
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_116_ch_47_strand.fast5	e2e07125-8285-416b-a6f1-8e5d5f017c82	52b163295bcfff805ebbe566ee02dffe2c40c323	47	388.26959	1.61155	1386	False	0.0	1386	1.61155	1386	10	3.317	-0.0022
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_23_ch_132_strand.fast5	eb8908ec-315e-4d85-817e-477d4c4ad00f	52b163295bcfff805ebbe566ee02dffe2c40c323	132	135.292	7.10176	6096	False	0.01776	6096	7.084	6096	389	5.553	-0.0005
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_44_ch_478_strand.fast5	eab4ad08-c75d-413e-9769-73d56e1f663d	52b163295bcfff805ebbe566ee02dffe2c40c323	478	311.17712	4.251	3631	True	0.03137	3631	4.21962	3631	2140	10.397	-0.0005
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_80_ch_477_strand.fast5	ec9b20f3-403c-44b5-9f92-d0f950aeb6d0	52b163295bcfff805ebbe566ee02dffe2c40c323	477	368.20684	5.55046	4776	True	0.0	4776	5.55046	4776	2868	12.325	-0.0005
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_39_ch_460_strand.fast5	b199e507-6290-4557-b990-d0b997c7dce7	52b163295bcfff805ebbe566ee02dffe2c40c323	460	286.27955	8.88214	7433	True	0.24436	7433	8.63778	7433	4709	12.446	-0.0003
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_16_ch_428_strand.fast5	47045e37-a05f-4edb-aee5-95f955f8dbf0	52b163295bcfff805ebbe566ee02dffe2c40c323	428	208.67082	7.87616	6433	True	0.3999	6433	7.47626	6433	3716	12.453	-0.0003
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_16_ch_195_strand.fast5	dbc13f65-5ed5-49a2-ae22-18bc6f889406	52b163295bcfff805ebbe566ee02dffe2c40c323	195	189.74402	7.22593	5971	True	0.28652	5971	6.93941	5971	3407	7.883	-0.0003
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_59_ch_338_strand.fast5	a428a95d-5c51-4370-ad83-2d402b06db52	52b163295bcfff805ebbe566ee02dffe2c40c323	338	343.83234	7.99336	6870	True	0.00979	6870	7.98357	6870	4291	10.303	-0.0004
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_16_ch_143_strand.fast5	b9cfd2d3-68c8-4377-b251-9386acc660e4	52b163295bcfff805ebbe566ee02dffe2c40c323	143	142.04532	10.00432	8589	False	0.02357	8589	9.98074	8589	1683	6.231	-0.0003
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_57_ch_253_strand.fast5	4836195e-3b41-4c75-a7ed-bf1d9a5bf31c	52b163295bcfff805ebbe566ee02dffe2c40c323	253	301.60442	13.69339	11784	False	0.0	11784	13.69339	11784	3165	5.751	-0.0004
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_113_ch_47_strand.fast5	17effd8d-c6bf-4e4e-bdde-91686e72774a	52b163295bcfff805ebbe566ee02dffe2c40c323	47	374.44406	13.80993	11884	False	0.0	11884	13.80993	11884	22	3.675	-0.0005
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_31_ch_289_strand.fast5	5b4ad0f1-2257-4104-8287-a1ecb5e29998	52b163295bcfff805ebbe566ee02dffe2c40c323	289	350.16185	18.04499	15503	True	0.02938	15503	18.0156	15503	9683	11.409	-0.0001
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_100_ch_266_strand.fast5	4bb95433-8e60-4db9-93c9-91febcabe616	52b163295bcfff805ebbe566ee02dffe2c40c323	266	356.95003	11.21265	9649	True	0.0	9649	11.21265	9649	2646	9.117	-0.0002
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_46_ch_236_strand.fast5	3a222e9d-3872-4444-b2ff-ff21ca2b6680	52b163295bcfff805ebbe566ee02dffe2c40c323	236	373.06092	20.63048	17754	True	0.0	17754	20.63048	17754	10809	11.676	-0.0002
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_1248_ch_192_strand.fast5	c6fa3c75-e730-478b-87a4-7618d9f3fa69	52b163295bcfff805ebbe566ee02dffe2c40c323	192	220.23506	15.83782	13390	False	0.27756	13390	15.56026	13390	789	6.398	-0.0003
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_67_ch_274_strand.fast5	fb293a54-3ad4-4da9-b228-0536c1d3632a	52b163295bcfff805ebbe566ee02dffe2c40c323	274	368.20983	25.48108	21928	True	0.0	21928	25.48108	21928	13562	11.867	-0.0003
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_19_ch_247_strand.fast5	669f51b0-7d0f-4be7-90c3-64fb3733dba1	52b163295bcfff805ebbe566ee02dffe2c40c323	247	144.39558	17.19754	14538	True	0.30395	14538	16.89359	14538	8463	11.463	-0.0002
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_43_ch_218_strand.fast5	a4f13d4a-9fa9-4dc8-97e6-4eb030cbc5ae	52b163295bcfff805ebbe566ee02dffe2c40c323	218	275.24236	20.55478	17646	True	0.04897	17646	20.50581	17646	9075	7.623	-0.0001
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_22_ch_73_strand.fast5	7d05f0c9-6885-4855-b115-1652e9b2d9c7	52b163295bcfff805ebbe566ee02dffe2c40c323	73	267.21663	28.58068	24550	True	0.05279	24550	28.52789	24550	15291	12.403	-0.0002
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_43_ch_440_strand.fast5	06892664-2452-4d0b-9d04-18d3619f0a07	52b163295bcfff805ebbe566ee02dffe2c40c323	440	248.82188	46.97543	40295	True	0.15123	40295	46.8242	40295	25388	11.375	-0.0001
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_24_ch_4_strand.fast5	c197939d-5018-40b7-bab4-e111b297391b	52b163295bcfff805ebbe566ee02dffe2c40c323	4	368.20667	25.4844	21931	False	0.0	21931	25.4844	21931	543	5.33	-0.0003
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_42_ch_350_strand.fast5	af2b8a8a-4af8-4831-aa72-ecff823a2b5f	52b163295bcfff805ebbe566ee02dffe2c40c323	350	165.33881	31.63114	27220	True	0.0	27220	31.63114	27220	17053	11.538	-0.0002
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_21_ch_261_strand.fast5	d0baadc2-1b40-4678-8bc2-4b4bf1671219	52b163295bcfff805ebbe566ee02dffe2c40c323	261	216.55212	31.98207	27522	True	0.0	27522	31.98207	27522	16480	12.605	-0.0002
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_33_ch_444_strand.fast5	1bb3b446-73fe-43b5-91e5-3da1bbe9d92e	52b163295bcfff805ebbe566ee02dffe2c40c323	444	315.42812	40.86172	35164	True	0.0	35164	40.86172	35164	21004	13.357	-0.0002
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_20_ch_437_strand.fast5	a07bd467-a89c-40bb-b5ab-532a98a24e9e	52b163295bcfff805ebbe566ee02dffe2c40c323	437	350.12583	4.38015	3760	False	0.01046	3760	4.36969	3760	105	5.159	-0.001
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_36_ch_335_strand.fast5	ca244037-8275-47d6-b825-1e1da197dcda	52b163295bcfff805ebbe566ee02dffe2c40c323	335	222.18044	38.42696	33069	True	0.0	33069	38.42696	33069	20910	12.025	-0.0002
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_75_ch_132_strand.fast5	115b2054-3af5-4f89-9745-c65383ce27bf	52b163295bcfff805ebbe566ee02dffe2c40c323	132	334.63679	33.56989	28741	True	0.17181	28741	33.39807	28741	17984	11.514	-0.0001
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_44_ch_327_strand.fast5	533d9df4-c5e1-4eb3-9f6d-db890677db30	52b163295bcfff805ebbe566ee02dffe2c40c323	327	245.36371	37.76627	32383	True	0.13596	32383	37.63031	32383	19564	11.865	-0.0002
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_4_ch_264_strand.fast5	04bde25a-fd73-4cf5-a457-5f118d3b8259	52b163295bcfff805ebbe566ee02dffe2c40c323	264	15.42795	1.76411	1308	True	0.24386	1308	1.52025	1308	805	11.654	-0.0021
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_50_ch_395_strand.fast5	77d6ffe5-f253-43ed-8691-4b0d7b222a6e	52b163295bcfff805ebbe566ee02dffe2c40c323	395	334.17629	34.02324	29243	True	0.04233	29243	33.98091	29243	18946	12.802	-0.0002
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_25_ch_388_strand.fast5	f71b5eb9-cb4e-4aa5-90d4-b5f42a27cc82	52b163295bcfff805ebbe566ee02dffe2c40c323	388	173.91434	3.60292	3093	True	0.00847	3093	3.59446	3093	1937	12.604	-0.0006
rsb0001410_20170609_FNFAH05342_MN22383_mux_scan_Epauciflora_A2_77810_read_61_ch_408_strand.fast5	eef4a504-7c16-4bb7-b13c-c9cc1388eff9	52b163295bcfff805ebbe566ee02dffe2c40c323	408	315.42812	2.19472	1888	True	0.0	1888	2.19472	1888	1186	8.824	-0.0008
